token,Symbol
6848,GREENLAM
13810,GREENPANEL
3987,GREENPLY
13560,GRINDWELL
5054,GRINFRA
17770,GROBTEA
5475,GRSE
13197,GSPL
11606,GUFICBIO
1267,GUJALKALI
14677,GUJAPOLLO
10599,GUJGASLTD
4391,GULFOILLUB
16783,GVT&D
48,HAPPSTMNDS
20854,HAPPYFORGE
8968,HARIOMPIPE
1313,HARRMALAYA
11162,HARSHA
3892,HATSUN
9819,HAVELLS
13966,HBLENGINE
7229,HCLTECH
1333,HDFCBANK
467,HDFCLIFE
18279,HDFCLIQUID
11591,HDFCNIFTY
1336,HEG
2614,HERANBA
4598,HERITGFOOD
7048,HESTERBIO
715,HEUBACHIND
1672,HGINFRA
14712,HGS
9668,HIKAL
1455,HIL
1363,HINDALCO
1372,HINDCOMPOS
1406,HINDPETRO
1394,HINDUNILVR
15883,HINDWAREAP
1424,HINDZINC
13890,HIRECT
2289,HLEGLAS
12173,HNDFDS
18284,HNGSNGBEES
2056,HOMEFIRST
3138,HONDAPOWER
14334,HSCL
14203,HUBTOWN
2562,HUHTAMAKI
25844,HYUNDAI
489,ICEMAKE
4963,ICICIBANK
21770,ICICIGI
18652,ICICIPRULI
11987,ICIL
17140,IDEAFORGE
18783,IDFNIFTYET
1482,IFBAGRO
1485,IFBIND
436,IFGLEXPOR
634,IGARASHI
14086,IGPL
11809,IIFL
13072,IIFLCAPS
28125,IKS
19235,IMFA
12009,IMPAL
23693,INDGN
1512,INDHOTEL
1515,INDIACEM
1521,INDIAGLYCO
10726,INDIAMART
14309,INDIANB
1530,INDIANHUME
20556,INDIASHLTR
2048,INDIGOPNTS
4747,INDNIPPON
11677,INDOCO
3088,INDOSTAR
4751,INDRAMEDCO
5258,INDUSINDBK
29135,INDUSTOWER
11027,INFOBEAN
20072,INFRABEES
21062,INNOVACAP
27754,INNOVANA
20607,INOXINDIA
14657,INSECTICID
5926,INTELLECT
24909,INTERARCH
20413,IOLCP
1630,IONEXCHANG
1633,IPCALAB
13611,IRCTC
19597,IRMENERGY
3329,ISGEC
2627,IT
5622,ITDCEM
24217,IVZINNIFTY
13982,JASH
4041,JAYAGROGN
1726,JBCHEPHARM
